program,month,reducers,slow_start,time_sec
pickup_drop,08,4,0.5,81
pickup_drop,08,4,0.75,117
pickup_drop,08,8,0.25,115
pickup_drop,08,8,0.5,126
pickup_drop,08,8,0.75,117
pickup_drop,09,1,0.25,82
pickup_drop,09,1,0.5,82
pickup_drop,09,1,0.75,99
pickup_drop,09,2,0.25,82
pickup_drop,09,2,0.5,134
pickup_drop,09,2,0.75,98
pickup_drop,09,4,0.25,104
pickup_drop,09,4,0.5,123
pickup_drop,09,4,0.75,117
pickup_drop,09,8,0.25,112
pickup_drop,09,8,0.5,130
pickup_drop,09,8,0.75,117
pickup_drop,10,1,0.25,88
pickup_drop,10,1,0.5,85
pickup_drop,10,1,0.75,140
pickup_drop,10,2,0.25,117
pickup_drop,10,2,0.5,125
pickup_drop,10,2,0.75,132
pickup_drop,10,4,0.25,125
pickup_drop,10,4,0.5,134
pickup_drop,10,4,0.75,245
pickup_drop,10,8,0.25,99
pickup_drop,10,8,0.5,131
pickup_drop,10,8,0.75,178
pickup_drop,11,1,0.25,99
pickup_drop,11,1,0.5,79
pickup_drop,11,1,0.75,77
pickup_drop,11,2,0.25,82
pickup_drop,11,2,0.5,89
pickup_drop,11,2,0.75,83
pickup_drop,11,4,0.25,81
pickup_drop,11,4,0.5,89
pickup_drop,11,4,0.75,86
pickup_drop,11,8,0.25,84
pickup_drop,11,8,0.5,98
pickup_drop,11,8,0.75,182
pickup_drop,12,1,0.25,193
pickup_drop,12,1,0.5,108
pickup_drop,12,1,0.75,78
pickup_drop,12,2,0.25,96
pickup_drop,12,2,0.5,94
pickup_drop,12,2,0.75,79
pickup_drop,12,4,0.25,81
pickup_drop,12,4,0.5,89
pickup_drop,12,4,0.75,89
pickup_drop,12,8,0.25,96
pickup_drop,12,8,0.5,101
pickup_drop,12,8,0.75,461
nightlife,01,1,0.25,106
nightlife,01,1,0.5,96
nightlife,01,1,0.75,94
nightlife,01,2,0.25,90
nightlife,01,2,0.5,92
nightlife,01,2,0.75,94
nightlife,01,4,0.25,102
nightlife,01,4,0.5,101
nightlife,01,4,0.75,126
nightlife,01,8,0.25,203
nightlife,01,8,0.5,119
nightlife,01,8,0.75,142
nightlife,02,1,0.25,119
nightlife,02,1,0.5,107
nightlife,02,1,0.75,173
nightlife,02,2,0.25,90
nightlife,02,2,0.5,104
nightlife,02,2,0.75,97
nightlife,02,4,0.25,110
nightlife,02,4,0.5,99
nightlife,02,4,0.75,98
nightlife,02,8,0.25,105
nightlife,02,8,0.5,109
nightlife,02,8,0.75,116
nightlife,03,1,0.25,80
nightlife,03,1,0.5,88
nightlife,03,1,0.75,93
nightlife,03,2,0.25,92
nightlife,03,2,0.5,101
nightlife,03,2,0.75,107
nightlife,03,4,0.25,108
nightlife,03,4,0.5,125
nightlife,03,4,0.75,139
nightlife,03,8,0.25,106
nightlife,03,8,0.5,121
nightlife,03,8,0.75,126
nightlife,04,1,0.25,95
nightlife,04,1,0.5,106
nightlife,04,1,0.75,101
nightlife,04,2,0.25,101
nightlife,04,2,0.5,113
nightlife,04,2,0.75,104
nightlife,04,4,0.25,107
nightlife,04,4,0.5,106
nightlife,04,4,0.75,107
nightlife,04,8,0.25,114
nightlife,04,8,0.5,117
nightlife,04,8,0.75,118
nightlife,05,1,0.25,90
nightlife,05,1,0.5,96
nightlife,05,1,0.75,105
nightlife,05,2,0.25,114
nightlife,05,2,0.5,101
nightlife,05,2,0.75,97
nightlife,05,4,0.25,104
nightlife,05,4,0.5,98
nightlife,05,4,0.75,96
nightlife,05,8,0.25,111
nightlife,05,8,0.5,122
nightlife,05,8,0.75,116
nightlife,06,1,0.25,90
nightlife,06,1,0.5,95
nightlife,06,1,0.75,96
nightlife,06,2,0.25,86
nightlife,06,2,0.5,90
nightlife,06,2,0.75,92
nightlife,06,4,0.25,92
nightlife,06,4,0.5,97
nightlife,06,4,0.75,94
nightlife,06,8,0.25,102
nightlife,06,8,0.5,105
nightlife,06,8,0.75,114
nightlife,07,1,0.25,81
nightlife,07,1,0.5,90
nightlife,07,1,0.75,93
nightlife,07,2,0.25,84
nightlife,07,2,0.5,101
nightlife,07,2,0.75,245
nightlife,07,4,0.25,105
nightlife,07,4,0.5,105
nightlife,07,4,0.75,238
nightlife,07,8,0.25,303
nightlife,07,8,0.5,117
nightlife,07,8,0.75,120
nightlife,08,1,0.25,94
nightlife,08,1,0.5,137
nightlife,08,1,0.75,98
nightlife,08,2,0.25,87
nightlife,08,2,0.5,92
nightlife,08,2,0.75,99
nightlife,08,4,0.25,96
nightlife,08,4,0.5,97
nightlife,08,4,0.75,98
nightlife,08,8,0.25,109
nightlife,08,8,0.5,115
nightlife,08,8,0.75,118
nightlife,09,1,0.25,94
nightlife,09,1,0.5,89
nightlife,09,1,0.75,88
nightlife,09,2,0.25,96
nightlife,09,2,0.5,97
nightlife,09,2,0.75,103
nightlife,09,4,0.25,97
nightlife,09,4,0.5,102
nightlife,09,4,0.75,110
nightlife,09,8,0.25,118
nightlife,09,8,0.5,117
nightlife,09,8,0.75,117
nightlife,10,1,0.25,100
nightlife,10,1,0.5,92
nightlife,10,1,0.75,119
nightlife,10,2,0.25,119
nightlife,10,2,0.5,106
nightlife,10,2,0.75,102
nightlife,10,4,0.25,121
nightlife,10,4,0.5,110
nightlife,10,4,0.75,113
nightlife,10,8,0.25,101
nightlife,10,8,0.5,113
nightlife,10,8,0.75,120
nightlife,11,1,0.25,86
nightlife,11,1,0.5,102
nightlife,11,1,0.75,92
nightlife,11,2,0.25,86
nightlife,11,2,0.5,101
nightlife,11,2,0.75,97
nightlife,11,4,0.25,98
nightlife,11,4,0.5,97
nightlife,11,4,0.75,101
nightlife,11,8,0.25,110
nightlife,11,8,0.5,124
nightlife,11,8,0.75,108
nightlife,12,1,0.25,92
nightlife,12,1,0.5,81
nightlife,12,1,0.75,94
nightlife,12,2,0.25,90
nightlife,12,2,0.5,115
nightlife,12,2,0.75,87
nightlife,12,4,0.25,97
nightlife,12,4,0.5,100
nightlife,12,4,0.75,100
nightlife,12,8,0.25,107
nightlife,12,8,0.5,122
nightlife,12,8,0.75,119
